,0
1915,"Crude Oil and Liquid Fuels Supply, Kazakhstan, Annual"
1916,"Crude Oil and Liquid Fuels Supply, Oman, Annual"
1917,"Crude Oil and Liquid Fuels Supply, Mexico, Annual"
1918,"Crude Oil and Liquid Fuels Supply, Malaysia, Annual"
1919,"Crude Oil and Liquid Fuels Supply, Norway, Annual"
1920,"Crude Oil and Liquid Fuels Supply, Total Non-OECD, Annual"
1921,"Total non-OPEC liquids, Annual"
1922,"Non- OPEC + OPEC non-crude Production, Annual"
1923,"Retail Sales of Electricity in Residential Sector, Mountain, Annual"
1924,"Liquid Fuels Consumption, Canada, Annual"
1925,"Liquid Fuels Consumption, China, Annual"
1926,"Liquid Fuels Consumption, non-OECD Eurasia, Annual"
1927,"Liquid Fuels Consumption, India, Annual"
1928,"Liquid Fuels Consumption, Japan, Annual"
1929,"Liquid Fuels Consumption, Mexico, Annual"
1930,"Liquid Fuels Consumption, Europe non-OECD, Annual"
1931,"Electric power sector net generation from geothermal, United States, Annual"
1932,"Retail Price of Electricity for All Sectors, Mountain, Quarterly"
1933,"Retail Price of Electricity for All Sectors, New England, Quarterly"
1934,"Retail Sales of Electricity in Commercial Sector, U.S. Total, Annual"
1935,"Retail Sales of Electricity in Commercial Sector, West North Central, Annual"
1936,"Retail Sales of Electricity in Commercial Sector, West South Central, Annual"
1937,"Retail Sales of Electricity in Industrial Sector, U.S. Total, Annual"
1938,"Retail Sales of Electricity in Industrial Sector, East North Central, Annual"
1939,"Retail Sales of Electricity in Industrial Sector, East South Central, Annual"
1940,"Retail Sales of Electricity in Industrial Sector, Alaska and Hawaii, Annual"
1941,"Liquefied Petroleum Gas Refinery Input, Annual"
1942,"Retail Sales of Electricity in Residential Sector, New England, Annual"
1943,"Retail Sales of Electricity in Residential Sector, Pacific Contiguous, Annual"
1944,"Retail Sales of Electricity in Residential Sector, South Atlantic, Annual"
1945,"Retail Sales of Electricity in Residential Sector, U.S. Total, Annual"
1946,"Retail Sales of Electricity in Residential Sector, West North Central, Annual"
1947,"Retail Sales of Electricity in Residential Sector, West South Central, Annual"
1948,"Retail Sales of Electricity in All Sectors, U.S. Total, Annual"
1949,"Total Motor Gasoline PADD 3 (Gulf Coast) Inventory, Annual"
1950,"Total Motor Gasoline PADD 4 (Rocky Mountain) Inventory, Annual"
1951,"Electric Power Sector Generation from Geothermal, Annual"
1952,"Industrial Sector Consumption of Geothermal Energy, Annual"
1953,"Industrial sector net generation from geothermal, United States, Annual"
1954,"Residential Sector Consumption of Geothermal Energy, Annual"
1955,"Consumption of Geothermal Energy by All Sectors, Annual"
1956,"Net generation from geothermal, all sectors, United States, Annual"
1957,"Generation from Geothermal by All Sectors, Annual"
1958,"Real U.S. Government Expenditures, Annual"
1959,"Hydrogen and Other Hydrocarbons Adjustments, Annual"
1960,"Retail Price of Natural Gas in Commercial Sector, W. S. Central, Annual"
1961,"Retail Sales of Electricity in Residential Sector, Middle Atlantic, Quarterly"
1962,"Retail Sales of Electricity in Residential Sector, Mountain, Quarterly"
1963,"Liquefied Petroleum Gas Refinery Output, Annual"
1964,"Liquefied Petroleum Gas Product Supplied, Annual"
1965,"Propane and Heavier Liquefied Petroleum Gas Product Supplied, Annual"
1966,"Motor Gasoline Blend Comp. Adjustment, Annual"
1967,"Motor Gasoline Blend Components Net Imports, Annual"
1968,"Natural Gas Consumption Residential Sector, W. N. Central, Annual"
1969,"Total Motor Gasoline PADD 5 (West Coast) Inventory, Annual"
1970,"Total Motor Gasoline U.S. Total Inventory, Annual"
1971,"Refiner Wholesale Gasoline Price, Annual"
1972,"Vehicle Miles Traveled, Annual"
1973,"Other Liquid Fuels Product Supplied, Annual"
1974,"Hydrocarbon Gas Liquids Refinery and Blender Net Production, Annual"
1975,"Commercial Sector Generation from Natural Gas, Annual"
1976,"Commercial sector consumption of natural gas, United States, Annual"
1977,"Commercial sector net generation from natural gas, United States, Annual"
1978,"Industrial Sector Generation from Natural Gas, Annual"
1979,"Electric power sector  consumption of natural gas, California, Annual"
1980,"Electric power sector  consumption of natural gas, Florida (FRCC), Annual"
1981,"Electric power sector  consumption of natural gas, Hawaii and Alaska, Annual"
1982,"Electric power sector  consumption of natural gas, Midwest (Midcontinent ISO), Annual"
1983,"Electric power sector  consumption of natural gas, New England (ISO-NE), Annual"
1984,"Retail Sales of Electricity in Residential Sector, East South Central, Quarterly"
1985,"Retail Sales of Electricity in Residential Sector, Alaska and Hawaii, Quarterly"
1986,"Natural Gas Consumption Residential Sector, W. S. Central, Annual"
1987,"Retail price of natural gas in the residential sector, U.S. average, Annual"
1988,"Real Natural Gas Price Residential Sector, U.S. Average, Annual"
1989,"Retail Price of Natural Gas in Residential Sector, E. N. Central, Annual"
1990,"Retail Price of Natural Gas in Residential Sector, E. S. Central, Annual"
1991,"Retail Price of Natural Gas in Residential Sector, Middle Atlantic, Annual"
1992,"Electric power sector net generation from petroleum, Northwest, Annual"
1993,"Electric power sector net generation from petroleum, New York (NYISO), Annual"
1994,"Electric power sector net generation from petroleum, Mid-Atlantic (PJM), Annual"
1995,"Electric power sector net generation from petroleum, Southeast (SERC), Annual"
1996,"Hydrocarbon Gas Liquids Product Supplied, Annual"
1997,"Commercial sector net generation from nuclear, United States, Annual"
1998,"Electric power sector net generation from nuclear, California, Annual"
1999,"Electric power sector net generation from nuclear, Florida (FRCC), Annual"
2000,"Electric power sector net generation from nuclear, Hawaii and Alaska, Annual"
2001,"Electric power sector net generation from nuclear, Midwest (Midcontinent ISO), Annual"
2002,"Electric power sector net generation from nuclear, New England (ISO-NE), Annual"
2003,"Electric power sector net generation from nuclear, Northwest, Annual"
2004,"Electric power sector net generation from nuclear, New York (NYISO), Annual"
2005,"Electric power sector net generation from nuclear, Mid-Atlantic (PJM), Annual"
2006,"Electric power sector net generation from nuclear, Southeast (SERC), Annual"
2007,"Electric power sector net generation from nuclear, Central (SPP ISO), Annual"
2008,"Electric power sector net generation from nuclear, Southwest, Annual"
2009,"Electric power sector net generation from nuclear, Texas (ERCOT), Annual"
2010,"Electric power sector net generation from nuclear, United States, Annual"
2011,"Crude Oil and Liquid Fuels Supply, South Sudan, Annual"
2012,"OECD Petroleum Production, Annual"
2013,"Other HC/Oxygenates Net Imports, Annual"
2014,"Other HC/Oxygenates Production, Annual"
2015,"Other HC/Oxygenates Inventory, Annual"
2016,"Other HC/Oxygenates Adjustment, Annual"
2017,"Other HC/Oxygenates Consumption, Annual"
2018,"Commercial Sector Generation from Other Petroleum, Annual"
2019,"Industrial Sector Generation from Other Petroleum, Annual"
2020,"Liquid Fuels Consumption, Total non-OECD, Annual"
2021,"Industrial Sector Consumption of Non-wood Waste Biomass Energy, Annual"
2022,"Consumption of Non-wood Waste Biomass Energy by All Sectors, Annual"
2023,"Generation from Other Renewable Sources by All Sectors, Annual"
2024,"Oxygenates (excluding Fuel Ethanol) Adjustments, Annual"
2025,"Oxygenates (excluding Fuel Ethanol) Net Imports, Annual"
2026,"Oxygenates (excluding Fuel Ethanol) Plant Net Production, Annual"
2027,"Oxygenates (excluding Fuel Ethanol) Refinery Input, Annual"
2028,"Propylene (refinery-grade) Gross Imports, Annual"
2029,"Propylene (refinery-grade) PADD 1 (East Coast) Inventory, Annual"
2030,"Propylene (refinery-grade) PADD 2 (Midwest) Inventory, Annual"
2031,"Propylene (refinery-grade) PADD 3 (Gulf Coast) Inventory, Annual"
2032,"Electric power sector net generation from petroleum, Central (SPP ISO), Annual"
2033,"Electric power sector net generation from petroleum, Southwest, Annual"
2034,"Electric power sector net generation from petroleum, Texas (ERCOT), Annual"
2035,"Electric power sector net generation from petroleum, United States, Annual"
2036,"Electric Power Sector Generation from Petroleum (All Types), Annual"
2037,"Petroleum Products Adjustment, Annual"
2038,"Refinery Processing Gain, Annual"
2039,"Total Petroleum Net Imports, Annual"
2040,"Industrial sector consumption of petroleum, United States, Annual"
2041,"Retail Sales of Electricity in Industrial Sector, Middle Atlantic, Annual"
2042,"Retail Sales of Electricity in Industrial Sector, Mountain, Annual"
2043,"Crude Oil and Liquid Fuels Supply, Other Eurasia, Annual"
2044,"Crude Oil and Liquid Fuels Supply, Other Central and S. America, Annual"
2045,"Total OPEC Petroleum Supply, Annual"
2046,"Other OECD Petroleum Production, Annual"
2047,"Other Non-OECD Petroleum Production, Annual"
2048,"Crude Oil and Liquid Fuels Supply, Qatar, Annual"
2049,"Crude Oil and Liquid Fuels Supply, Russia, Annual"
2050,"Retail Sales of Electricity in All Sectors, East North Central, Annual"
2051,"Retail Sales of Electricity in All Sectors, East South Central, Annual"
2052,"Liquid Fuels Consumption, Total OECD, Annual"
2053,"Liquid Fuels Consumption, Europe OECD, Annual"
2054,"Liquid Fuels Consumption, Other Asia, Annual"
2055,"Liquid Fuels Consumption, Other non-OECD, Annual"
2056,"Liquid Fuels Consumption, Other OECD, Annual"
2057,"Liquid Fuels Consumption, Total North America, Annual"
2058,"Liquid Fuels Consumption, Total Central and South America, Annual"
2059,"Ethane Net Imports, Annual"
2060,"Ethane/Ethylene U.S. Inventory, Annual"
2061,"Ethane/Ethylene Refinery and Blender Net Production, Annual"
2062,"Ethane/Ethylene Product Supplied, Annual"
2063,"Total Supply of Electricity in United States, Annual"
2064,"Retail Sales of Electricity in Transportation Sector, U.S. Total, Annual"
2065,"Retail Sales of Electricity in Transportation Sector, East North Central, Annual"
2066,"Retail Sales of Electricity in Transportation Sector, East South Central, Annual"
2067,"Retail Sales of Electricity in Transportation Sector, Alaska and Hawaii, Annual"
2068,"Retail Sales of Electricity in Industrial Sector, New England, Annual"
2069,"Retail Sales of Electricity in Industrial Sector, Pacific Contiguous, Annual"
2070,"Retail Sales of Electricity in Industrial Sector, South Atlantic, Annual"
2071,"Retail Sales of Electricity in Industrial Sector, U.S. Total, Annual"
2072,"Retail Sales of Electricity in Industrial Sector, West North Central, Annual"
2073,"Retail Sales of Electricity in Industrial Sector, West South Central, Annual"
2074,"Gasoline Blending Components U.S. Total Inventory, Annual"
2075,"Motor Gasoline Blend Components Refinery Input, Annual"
2076,"Gasoline All Grades Retail Price Including Taxes U.S. Average, Annual"
2077,"Retail Sales of Electricity in All Sectors, Alaska and Hawaii, Annual"
2078,"Retail Sales of Electricity in All Sectors, Middle Atlantic, Annual"
2079,"Retail Sales of Electricity in All Sectors, Mountain, Annual"
2080,"Retail Sales of Electricity in All Sectors, New England, Annual"
2081,"Retail Sales of Electricity in All Sectors, Pacific Contiguous, Annual"
2082,"Retail Sales of Electricity in All Sectors, South Atlantic, Annual"
2083,"Natural Gas Pipeline and Distribution Use, Annual"
2084,"Natural Gas Base Gas Inventory, Annual"
2085,"Retail Price of Natural Gas in Residential Sector, S. Atlantic, Quarterly"
2086,"Industrial Sector Total Generation, Annual"
2087,"Industrial Output, Manufacturing, E. N. Central, Annual"
2088,"Industrial Output, Manufacturing, E. S. Central, Annual"
2089,"Industrial Output, Manufacturing, Middle Atlantic, Annual"
2090,"Industrial Output, Manufacturing, Mountain, Annual"
2091,"Industrial Output, Manufacturing, New England, Annual"
2092,"Industrial Output, Manufacturing, Pacific, Annual"
2093,"Natural Gas Consumption Industrial Sector, Middle Atlantic, Annual"
2094,"Finished Motor Gasoline Adjustment, Annual"
2095,"Finished Motor Gasoline Net Imports, Annual"
2096,"Finished Motor Gasoline U.S. Total Inventory, Annual"
2097,"Gasoline Regular Grade Retail Price Incl Taxes, PADD 1 (East Coast), Annual"
2098,"Retail Price of Natural Gas in Price Residential Sector, Mountain, Annual"
2099,"Retail Price of Natural Gas in Residential Sector, New England, Annual"
2100,"Natural Gas Consumption Commercial Sector, U.S. Total, Annual"
2101,"Natural Gas Consumption Commercial Sector, E. N. Central, Annual"
2102,"Natural Gas Consumption Commercial Sector, E. S. Central, Annual"
2103,"Natural Gas Consumption Commercial Sector, Middle Atlantic, Annual"
2104,"Natural Gas Consumption Commercial Sector, Mountain, Annual"
2105,"Electric Power Sector Generation from Nuclear, Annual"
2106,"Industrial sector net generation from nuclear, United States, Annual"
2107,"Net generation from nuclear, all sectors, United States, Annual"
2108,"Retail Price of Natural Gas in Residential Sector, New England, Quarterly"
2109,"Retail Price of Natural Gas in Residential Sector, Pacific, Quarterly"
2110,"Natural Gas Consumption Industrial Sector, Mountain, Annual"
2111,"Natural Gas Consumption Industrial Sector, New England, Annual"
2112,"Natural Gas Consumption Industrial Sector, Pacific, Annual"
2113,"Natural Gas Consumption Industrial Sector, S. Atlantic, Annual"
2114,"U.S. Natural Gas Industrial Consumption, Annual"
2115,"Natural Gas Consumption Industrial Sector, W. N. Central, Annual"
2116,"Natural Gas Consumption Industrial Sector, W. S. Central, Annual"
2117,"Natural Gas Lease and Plant Fuel, Annual"
2118,"Natural Gas Lower 48 States (excl GOM) Marketed Production, Annual"
2119,"Natural Gas Alaska Marketed Production, Annual"
2120,"Propylene (refinery-grade) US Total Inventory, Annual"
2121,"Propylene Refinery and Blender Net Production, Annual"
2122,"Retail Price of Natural Gas in Residential Sector, Pacific, Annual"
2123,"Retail Price of Natural Gas in Residential Sector, S. Atlantic, Annual"
2124,"Retail Price of Natural Gas in Residential Sector, W. N. Central, Annual"
2125,"Retail Price of Natural Gas in Residential Sector, W. S. Central, Annual"
2126,"Supplemental Gaseous Fuels Supply, Annual"
2127,"Total Natural Gas Primary Supply, Annual"
2128,"Industrial sector net generation from petroleum, United States, Annual"
2129,"Petroleum Product Net Imports, Annual"
2130,"Generation from Nuclear by All Sectors, Annual"
2131,"Commercial sector net generation from other nonrenewable fuels, United States, Annual"
2132,"Electric power sector  net generation from other nonrenewable fuels, California, Annual"
2133,"Electric power sector  net generation from other nonrenewable fuels, Florida (FRCC), Annual"
2134,"Electric power sector  net generation from other nonrenewable fuels, Hawaii and Alaska, Annual"
2135,"Electric power sector  net generation from other nonrenewable fuels, Midwest (Midcontinent ISO), Annual"
2136,"Electric power sector  net generation from other nonrenewable fuels, New England (ISO-NE), Annual"
2137,"Electric power sector  net generation from other nonrenewable fuels, Northwest, Annual"
2138,"Electric power sector  net generation from other nonrenewable fuels, New York (NYISO), Annual"
2139,"Electric power sector  net generation from other nonrenewable fuels, Mid-Atlantic (PJM), Annual"
2140,"Electric power sector  net generation from other nonrenewable fuels, Southeast (SERC), Annual"
2141,"Crude Oil and Liquid Fuels Supply, Syria, Annual"
2142,"Crude Oil and Liquid Fuels Supply, Turkmenistan, Annual"
2143,"Average Residential Electricity Usage Per Customer, West North Central, Quarterly"
2144,"Average Residential Electricity Usage Per Customer, West South Central, Quarterly"
2145,"Propylene (refinery-grade) Consumption, Annual"
2146,"Commercial Sector Generation from Petroleum (All Types), Annual"
2147,"Commercial sector consumption of petroleum, United States, Annual"
2148,"Commercial sector net generation from petroleum, United States, Annual"
2149,"Industrial Sector Generation from Petroleum (All Types), Annual"
2150,"Unplanned liquid fuel production disruptions, Azerbaijan, Annual"
2151,"Unplanned liquid fuel production disruptions, Argentina, Annual"
2152,"Unplanned liquid fuel production disruptions, Australia, Annual"
2153,"Unplanned liquid fuel production disruptions, Brazil, Annual"
2154,"Unplanned liquid fuel production disruptions, Canada, Annual"
2155,"Unplanned liquid fuel production disruptions, Chad, Annual"
2156,"Unplanned liquid fuel production disruptions, China, Annual"
2157,"Retail Sales of Electricity in Transportation Sector, Middle Atlantic, Annual"
2158,"Lower 48 States (excl GOM) Crude Oil Production, Annual"
2159,"Alaska Crude Oil Production, Annual"
2160,"Crude Oil Production Federal Gulf of Mexico, Annual"
2161,"Crude Oil and Liquid Fuels Supply, Azerbaijan, Annual"
2162,"Crude Oil and Liquid Fuels Supply, Argentina, Annual"
2163,"Average Residential Electricity Usage Per Customer, East North Central, Annual"
2164,"Crude Oil and Liquid Fuels Supply, United Kingdom, Annual"
2165,"Crude Oil and Liquid Fuels Supply, United States, Annual"
2166,"Crude Oil and Liquid Fuels Supply, Vietnam, Annual"
2167,"Total World Petroleum Production, Annual"
2168,"Crude Oil and Liquid Fuels Supply, Yemen, Annual"
2169,"Total Refinery Input, Annual"
2170,"Renewables and Oxygenate Production, Annual"
2171,"Retail Sales of Electricity in All Sectors, U.S. Total, Annual"
2172,"Retail Sales of Electricity in All Sectors, West North Central, Annual"
2173,"Retail Price of Electricity in Commercial Sector, Pacific Contiguous, Quarterly"
2174,"Retail Price of Electricity in Commercial Sector, South Atlantic, Quarterly"
2175,"Retail Sales of Electricity in Transportation Sector, Mountain, Annual"
2176,"Retail Sales of Electricity in Transportation Sector, New England, Annual"
2177,"Retail Sales of Electricity in Transportation Sector, Pacific Contiguous, Annual"
2178,"Retail Sales of Electricity in Transportation Sector, South Atlantic, Annual"
2179,"Retail Sales of Electricity in Transportation Sector, U.S. Total, Annual"
2180,"Retail Sales of Electricity in Transportation Sector, West North Central, Annual"
2181,"Retail Sales of Electricity in Transportation Sector, West South Central, Annual"
2182,"Industrial Output, Manufacturing, S. Atlantic, Annual"
2183,"Average Residential Electricity Usage Per Customer, East South Central, Annual"
2184,"Average Residential Electricity Usage Per Customer, Hawaii and Alaska, Annual"
2185,"Average Residential Electricity Usage Per Customer, Middle Atlantic, Annual"
2186,"Average Residential Electricity Usage Per Customer, Mountain, Annual"
2187,"Average Residential Electricity Usage Per Customer, New England, Annual"
2188,"Average Residential Electricity Usage Per Customer, Pacific Contiguous, Annual"
2189,"Average Residential Electricity Usage Per Customer, South Atlantic, Annual"
2190,"Gasoline Regular Grade Retail Price Incl Taxes, PADD 2 (Midwest), Annual"
2191,"Gasoline Regular Grade Retail Price Incl Taxes, PADD 3 (Gulf Coast), Annual"
2192,"Retail Sales of Electricity in All Sectors, West South Central, Annual"
2193,"Petrochemical Feedstocks Product Supplied, Annual"
2194,"Carbon Dioxide Emissions from Fossil Fuels, Annual"
2195,"Nominal U.S. Dollar Index, 2015 Q1=100 (annual and quarterly data only), Annual"
2196,"Nominal U.S. Dollar Exchange Rate, Percent Change From Prior Year, Annual"
2197,"GDP Implicit Price Deflator, Annual"
2198,"GDP Implicit Price Deflator, Annual"
2199,"Natural Gas Consumption Commercial Sector, New England, Annual"
2200,"Natural Gas Consumption Commercial Sector, Pacific, Annual"
2201,"Retail Price of Electricity for All Sectors, East North Central, Quarterly"
2202,"Retail Price of Electricity for All Sectors, East South Central, Quarterly"
2203,"Ethane/Ethylene Refinery and Blender Net Production, Quarterly"
2204,"Ethane/Ethylene Product Supplied, Quarterly"
2205,"Total Net Generation of Electricity from Large-Scale Power Plants, Electric Power Sector, United States, Quarterly"
2206,"Retail Sales of Electricity in Commercial Sector, U.S. Total, Quarterly"
2207,"Retail Sales of Electricity in Commercial Sector, West North Central, Quarterly"
2208,"Retail Sales of Electricity in Commercial Sector, U.S. Total, Quarterly"
2209,"Retail Sales of Electricity in Commercial Sector, West North Central, Quarterly"
2210,"Retail Price of Electricity in Residential Sector, East South Central, Quarterly"
2211,"Retail Price of Electricity in Residential Sector, Alaska and Hawaii, Quarterly"
2212,"Average Residential Electricity Usage Per Customer, East South Central, Quarterly"
2213,"Average Residential Electricity Usage Per Customer, Hawaii and Alaska, Quarterly"
2214,"Net energy for electricity load, California, Quarterly"
2215,"Net energy for electricity load, Florida (FRCC), Quarterly"
2216,"Net energy for electricity load, Hawaii and Alaska, Quarterly"
2217,"Net energy for electricity load, Midwest (Midcontinent ISO), Quarterly"
2218,"Net energy for electricity load, New England (ISO-NE), Quarterly"
2219,"Fuel Ethanol Adjustments, Quarterly"
2220,"Fuel Ethanol Net Imports, Quarterly"
2221,"Retail Sales of Electricity in Transportation Sector, East North Central, Quarterly"
2222,"Retail Sales of Electricity in Transportation Sector, East South Central, Quarterly"
2223,"Retail Price of Electricity in Commercial Sector, East North Central, Quarterly"
2224,"Retail Price of Electricity in Commercial Sector, East South Central, Quarterly"
2225,"Wholesale Electricity Price, MISO (Midcontinent ISO) Illinois hub, Quarterly"
2226,"Wholesale Electricity Price, ISO-NE (New England ISO) Internal hub, Quarterly"
2227,"Wholesale Electricity Price, Northwest index, Mid-Columbia hub, Quarterly"
2228,"Wholesale Electricity Price, NYISO (New York ISO) Hudson Valley zone, Quarterly"
2229,"Wholesale Electricity Price, PJM RTO Western hub, Quarterly"
2230,"Retail Price of Electricity in Industrial Sector, Middle Atlantic, Quarterly"
2231,"Retail Price of Electricity in Industrial Sector, Mountain, Quarterly"
2232,"Retail Sales of Electricity in Industrial Sector, U.S. Total, Quarterly"
2233,"Retail Sales of Electricity in Industrial Sector, West North Central, Quarterly"
2234,"Retail Price of Electricity in Residential Sector, South Atlantic, Quarterly"
2235,"Retail Price of Electricity in Residential Sector, U.S. Average, Quarterly"
2236,"Net energy for electricity load, Northwest, Quarterly"
2237,"Net energy for electricity load, New York (NYISO), Quarterly"
2238,"Net energy for electricity load, Mid-Atlantic (PJM), Quarterly"
2239,"Net energy for electricity load, Southeast (SERC), Quarterly"
2240,"Net energy for electricity load, Central (SPP ISO), Quarterly"
2241,"Retail Price of Electricity for All Sectors, West South Central, Quarterly"
2242,"Total Consumption of Electricity in United States, Quarterly"
2243,"Retail Sales of Electricity in Transportation Sector, Pacific Contiguous, Quarterly"
2244,"Retail Sales of Electricity in Transportation Sector, South Atlantic, Quarterly"
2245,"Total Consumption of Electricity in United States, Quarterly"
2246,"Number of Residential Customers, East North Central, Quarterly"
2247,"Retail Sales of Electricity in Commercial Sector, West South Central, Quarterly"
2248,"Retail Sales of Electricity in Industrial Sector, U.S. Total, Quarterly"
2249,"Retail Price of Electricity in Residential Sector, Middle Atlantic, Quarterly"
2250,"Retail Price of Electricity in Residential Sector, Mountain, Quarterly"
2251,"Average Residential Electricity Usage Per Customer, Middle Atlantic, Quarterly"
2252,"Average Residential Electricity Usage Per Customer, Mountain, Quarterly"
2253,"Total Non-Farm Employment E. N. Central, Quarterly"
2254,"Total Non-Farm Employment E. S. Central, Quarterly"
2255,"Ethanol Energy Supply, Quarterly"
2256,"Fuel Ethanol Production, Quarterly"
2257,"Retail Sales of Electricity in Transportation Sector, Alaska and Hawaii, Quarterly"
2258,"Retail Sales of Electricity in Transportation Sector, Middle Atlantic, Quarterly"
2259,"Retail Price of Electricity in Commercial Sector, Alaska and Hawaii, Quarterly"
2260,"Retail Price of Electricity in Commercial Sector, Middle Atlantic, Quarterly"
2261,"Wholesale Electricity Price, Southeast index, Southeast Reliability (SERC) Into Southern hub, Quarterly"
2262,"Wholesale Electricity Price, SPP (Southwest Power Pool ISO) South hub, Quarterly"
2263,"Wholesale Electricity Price, Southwest index, Palo Verde hub, Quarterly"
2264,"Wholesale Electricity Price, ERCOT (Texas) ISO North hub, Quarterly"
2265,"Retail Price of Electricity in Industrial Sector, New England, Quarterly"
2266,"Retail Price of Electricity in Industrial Sector, Pacific Contiguous, Quarterly"
2267,"Retail Sales of Electricity in Industrial Sector, West South Central, Quarterly"
2268,"Average Residential Electricity Usage Per Customer, East North Central, Quarterly"
2269,"Retail Price of Electricity in Residential Sector, West North Central, Quarterly"
2270,"Retail Price of Electricity in Residential Sector, West South Central, Quarterly"
2271,"Net energy for electricity load, Southwest, Quarterly"
2272,"Net energy for electricity load, Texas (ERCOT), Quarterly"
2273,"Net energy for electricity load, United States, Quarterly"
2274,"Commercial Employment, Quarterly"
2275,"Ethane Production at Natural Gas Processing Plants, Quarterly"
2276,"Retail Price of Electricity in Commercial Sector, U.S. Average, Quarterly"
2277,"Retail Sales of Electricity in Transportation Sector, U.S. Total, Quarterly"
2278,"Retail Sales of Electricity in Transportation Sector, West North Central, Quarterly"
2279,"Retail Sales of Electricity in Commercial Sector, West South Central, Quarterly"
2280,"Retail Sales of Electricity in Commercial Sector, U.S. Total, Quarterly"
2281,"Retail Sales of Electricity in Industrial Sector, East North Central, Quarterly"
2282,"Retail Sales of Electricity in Industrial Sector, East South Central, Quarterly"
2283,"Retail Price of Electricity in Residential Sector, New England, Quarterly"
2284,"Retail Price of Electricity in Residential Sector, Pacific Contiguous, Quarterly"
2285,"Average Residential Electricity Usage Per Customer, New England, Quarterly"
2286,"Average Residential Electricity Usage Per Customer, Pacific Contiguous, Quarterly"
2287,"Total Non-Farm Employment Middle Atlantic, Quarterly"
2288,"Total Non-Farm Employment Mountain, Quarterly"
2289,"Fuel Ethanol Inventory, Quarterly"
2290,"Fuel Ethanol Refinery and Blender Net Inputs, Quarterly"
2291,"Retail Sales of Electricity in Transportation Sector, Mountain, Quarterly"
2292,"Retail Sales of Electricity in Transportation Sector, New England, Quarterly"
2293,"Retail Price of Electricity in Commercial Sector, Mountain, Quarterly"
2294,"Retail Price of Electricity in Commercial Sector, New England, Quarterly"
2295,"Retail Price of Electricity for All Sectors, Pacific Contiguous, Quarterly"
2296,"Retail Price of Electricity for All Sectors, South Atlantic, Quarterly"
2297,"Retail Price of Electricity in Industrial Sector, South Atlantic, Quarterly"
2298,"Retail Price of Electricity in Industrial Sector, U.S. Average, Quarterly"
2299,"Retail Sales of Electricity in Industrial Sector, Mountain, Quarterly"
2300,"Retail Sales of Electricity in Industrial Sector, New England, Quarterly"
2301,"Retail Sales of Electricity in Commercial Sector, Pacific Contiguous, Quarterly"
2302,"Retail Sales of Electricity in Commercial Sector, South Atlantic, Quarterly"
2303,"Ethane Net Imports, Quarterly"
2304,"Ethane/Ethylene U.S. Inventory, Quarterly"
2305,"Ethanol Share of Finished Gasoline Consumption, Quarterly"
2306,"Electric Power Sector Total Generation, Quarterly"
2307,"Retail Sales of Electricity in Transportation Sector, West South Central, Quarterly"
2308,"Retail Sales of Electricity in Commercial Sector, U.S. Total, Quarterly"
2309,"Non-Farm Employment, Quarterly"
2310,"Transportation Sector Consumption of Energy from Ethanol, Quarterly"
2311,"Retail Sales of Electricity in Industrial Sector, Alaska and Hawaii, Quarterly"
2312,"Retail Sales of Electricity in Industrial Sector, Middle Atlantic, Quarterly"
2313,"Retail price of electricity in residential sector, U.S. average, Quarterly"
2314,"Real Retail Price of Electricity in Residential Sector, U.S. Average, Quarterly"
2315,"Retail Price of Electricity in Residential Sector, East North Central, Quarterly"
2316,"Average Residential Electricity Usage Per Customer, South Atlantic, Quarterly"
2317,"Average Residential Electricity Usage Per Customer, United States, Quarterly"
2318,"Retail Price of Electricity in Industrial Sector, East South Central, Quarterly"
2319,"Retail Price of Electricity in Industrial Sector, Alaska and Hawaii, Quarterly"
2320,"Consumption of Energy from Ethanol by All Sectors, Quarterly"
2321,"Fuel Ethanol Consumption, Quarterly"
2322,"Total Supply of Electricity in United States, Quarterly"
2323,"Retail Sales of Electricity in Transportation Sector, U.S. Total, Quarterly"
2324,"Total Retail Sales of Electricity in All Sectors, U.S. Total, Quarterly"
2325,"Wholesale Electricity Price, CAISO (California ISO) SP15 zone, Quarterly"
2326,"Wholesale Electricity Price, Florida index, Florida Reliability (FRCC) hub, Quarterly"
2327,"Retail Price of Electricity for All Sectors, U.S. Total, Quarterly"
2328,"Retail Price of Electricity for All Sectors, West North Central, Quarterly"
2329,"Retail Price of Electricity in Industrial Sector, West North Central, Quarterly"
2330,"Retail Price of Electricity in Industrial Sector, West South Central, Quarterly"
2331,"Retail Sales of Electricity in Industrial Sector, Pacific Contiguous, Quarterly"
2332,"Retail Sales of Electricity in Industrial Sector, South Atlantic, Quarterly"
2333,"Diesel Fuel Consumption, Quarterly"
2334,"Diesel Fuel Refiner Wholesale Price, Quarterly"
2335,"Liquid Fuels Consumption, India, Quarterly"
2336,"Liquid Fuels Consumption, Japan, Quarterly"
2337,"Total Non-Farm Employment W. N. Central, Quarterly"
2338,"Number of Residential Customers, Middle Atlantic, Quarterly"
2339,"Direct Use of Electricity by Commercial and Industrial Facilities, Quarterly"
2340,"Total Direct Use of Electricity in United States, Quarterly"
2341,"Retail Sales of Electricity in Industrial Sector, New England, Quarterly"
2342,"Retail Sales of Electricity in Industrial Sector, Pacific Contiguous, Quarterly"
